A/B,Accuracy,Trustworthness,Objectivity,Appropriateness,Relevance,Completeness,Conciseness,Consistency,Underestandability,Interpretability,Flexibility,Satisfaction,Use Intention
1.Accuracy,,A or B-,,,,,,,,,,,
2.Trustworthness,,,,,,,,,,,,,
3. Objectivity,,,,,,,,,,,,,
4. Appropriateness,,,,,,,,,,,,,
5. Relevance,,,,,,,,,,,,,
6. Completeness,,,,,,,,,,,,,
7. Conciseness,,,,,,,,,,,,,
8. Consistency,,,,,,,,,,,,,
9.Underestandability,,,,,,,,,,,,,
10. Interpretability,,,,,,,,,,,,,
11. Flexibility,,,,,,,,,,,,,
12. Satisfaction,,,,,,,,,,,,,
13.Use Intention,,,,,,,,,,,,,
